brand,model_number,model_name,alternatives,inches,width,height,panel,on_w,sleep_w,off_w,max_nits,hdr,certified
Acer,22UT2Q,22UT2Q_a,22UT******,21.5,1920,1080,IPS LCD,11.46,0.4,0.12,250,,2024-08-09
Acer,ASV15-1B,ASV15-1BP_q,ASV15-1BP,15.5,3840,2160,IPS LCD,11.76,0.25,0.25,400,,2021-11-21
Acer,B196L,B196L_q,,19,1280,1024,TN LCD,10.1,0.2,0.1,250,,2019-11-26
Acer,B206HQL,B206HQL_v,V206HQL_v|V206HQL,19.5,900,1600,TN LCD,10.76,0.2,0.14,200,,2020-01-16
Acer,B226HQL,B226HQL_q,,21.5,1920,1080,TN LCD,11.8,0.3,0.2,250,,2019-11-01
Acer,B226HQL,B226HQL_r,V226HQL_r|V226HQL,21.5,1920,1080,IPS LCD,13.13,0.24,0.18,250,,2019-12-16
Acer,B226HQL,B226HQL_v,V226HQL_v|V226HQL,21.5,1080,1920,TN LCD,12.41,0.22,0.09,250,,2019-12-31
Acer,B227Q,B227Q_b,CB222Q_b|CB222Q,22,1920,1080,IPS LCD,12,0.4,0.25,250,,2023-08-02
Acer,B227Q,B227Q_q,,21.5,1920,1080,IPS LCD,10,0.2,0.1,250,,2019-09-20
Acer,B227Q,B227Q_v,B227Q***|V227Q_v|V227Q|V227Q***,21.5,1920,1080,TFT LCD,13.45,0.2,0.14,250,,2019-10-21
Acer,B246HL,B246HL_q,,24,1920,1080,TN LCD,11.63,0.28,0.19,250,,2019-11-15
Acer,B246HL,B246HL_v,CB241H_v|CB241H|V246HL_v|V246HL,24,1080,1920,TN LCD,13.17,0.32,0.14,300,,2019-12-27
Acer,B246HQL,B246HQL_v,V246HQL_v|V246HQL|VE246Q_v|VE246Q,23.6,1080,1920,TN LCD,13.9,0.23,0.17,250,,2020-01-16
Acer,B246WL,B246WL_q,,24.1,1920,1200,IPS LCD,12.6,0.3,0.1,300,,2019-10-28
Acer,B247W,B247W_q,,24.1,1920,1200,IPS LCD,10.8,0.2,0.1,300,,2019-12-16
Acer,B247W,B247W_v,B247W***|V247W_v|V247W|V247W***,24,1920,1200,TFT LCD,14.85,0.25,0.17,350,,2024-04-03
Acer,B247Y,B247Y,,23.8,1920,1080,IPS LCD,11.42,0.17,0.15,250,,2022-12-12
Acer,B247Y,B247Y_b,V247Y_b|V247Y,23.8,1920,1080,IPS LCD,10.32,0.28,0.15,300,,2024-08-09
Acer,B247Y,B247Y_q,,23.8,1920,1080,IPS LCD,9.9,0.1,0.1,250,,2026-05-08
Acer,B247Y,B247Y_v,,23.8,1920,1080,IPS LCD,14.44,0.37,0.29,250,,2022-09-29
Acer,B247Y,B247Y_v,V247Y_v|V247Y,23.8,1920,1080,IPS LCD,14.93,0.34,0.27,250,,2019-09-06
Acer,B247Y C,B247Y C_v,,23.8,1080,1920,IPS LCD,12.5,0.28,0.24,250,,2020-01-16
Acer,B247Y_v,B247Y_v,B247Y***,23.8,1920,1080,TFT LCD,9.48,0.13,0.08,300,,2026-06-25
Acer,B248W,B248W_v,B248W***,24,1920,1200,TFT LCD,15.23,1.24,0.27,350,,2024-05-31
Acer,B248Y,B248Y_v,B248Y***,23.8,1920,1080,IPS LCD,14.64,0.59,0.45,350,,2020-11-26
Acer,B276HK,B276HK_q,,27,3840,2160,IPS LCD,21.96,0.16,0.11,350,,2020-07-13
Acer,B276HUL,B276HUL_v,K272HUL_v|K272HUL,27,1440,2560,IPS LCD,19.29,0.49,0.36,350,,2020-05-05
Acer,B277,B277_b,V277_b|V277,27,1920,1080,IPS LCD,12.89,0.17,0.14,250,,2024-11-12
Acer,B277,B277_b,V277_b|V277,27,1920,1080,IPS LCD,15.22,0.14,0.12,300,,2023-04-18
Acer,B277,B277_k,CB272|CB272_k|B27**********|CB27**********|V27**********|V277_k|V277,27,1920,1080,IPS LCD,14.58,0.14,0.08,300,,2024-06-05
Acer,B277,B277_q,,27,1920,1080,IPS LCD,13.54,0.3,0.12,250,,2026-05-14
Acer,B277,B277_q,,27,1920,1080,IPS LCD,14.8,0.2,0.1,250,,2019-09-25
Acer,B277,B277_r,CB272_r|CB272|V277_r|V277,27,1920,1080,IPS LCD,14.95,0.23,0.11,250,,2019-11-28
Acer,B277,B277_v,B277***_v|V277|V277_v|V277***_v,27,1080,1920,IPS LCD,13.9,2.63,0.17,250,,2019-11-28
Acer,B277K,B277K_v,B277K***|V277K|V277K***|V277K_v,27,3840,2160,TFT LCD,29.57,0.34,0.22,350,,2025-06-16
Acer,B277K,B277K_v,V277K_v|V277K,27,2160,3840,IPS LCD,24.25,0.33,0.18,350,,2020-06-24
Acer,B277U,B277U_a,B277|B27*****|CB272|CB27*****|CBA272|CBA27*****|V277U|V277|V27*****,27,2560,1440,IPS LCD,14.16,0.35,0.11,250,,2024-04-18
Acer,B277U,B277U_a,B277|B27*****|CB272|CB272U|CB27*****|CBA272|CBA27*****|V277U|V277|V27*****,27,2560,1440,IPS LCD,14.24,0.14,0.13,300,,2025-06-13
Acer,B277U,B277U_q,,27.4,2560,1440,IPS LCD,16.9,0.3,0.2,350,,2019-11-01
Acer,B277U,B277U_v,V277U_v|V277U,27,2560,1440,IPS LCD,20.8,0.23,0.13,250,,2020-01-16
Acer,B277U_v,B277U_v,B277U***,27,2560,1440,TFT LCD,9.59,0.18,0.11,350,,2026-06-25
Acer,B277_v,B277_v,B277***,27,1920,1080,TFT LCD,9.57,0.13,0.08,300,,2026-06-25
Acer,B278K,B278K_v,,27,2160,3840,IPS LCD,26.94,0.37,0.25,350,,2023-02-18
Acer,B278U,B278U_v,B278U***,27,2560,1440,TFT LCD,18.06,1.3,0.24,350,,2022-05-24
Acer,B326HUL,B326HUL_q,,32,2560,1440,IPS LCD,21.9,0.7,0.3,300,,2019-11-01
Acer,B327QK_a,B327QK,B32******|EK32******|CB32******|XB32******|XV32******,31.5,3840,2160,VA LCD,30.69,0.26,0.23,250,,2025-07-07
Acer,B327QK_v,B327QK_v,B327QK***,31.5,3840,2160,TFT LCD,20.27,0.36,0.19,350,,2025-09-03
Acer,BE270U A,BE270U Abmipruzx,BE270|BE270U,27,1440,2560,IPS LCD,20.76,0.29,0.23,331.6,,2019-11-19
Acer,BL280K,BL280K_v,CBL282K_v|CBL282K|CL280K_v|CL280K,28,3840,2160,TFT LCD,29.37,0.3,0.23,331.6,,2020-12-24
Acer,BM320,BM320_q,B326HK_q|B326HK,32,3840,2160,IPS LCD,28.8,0.6,0.2,350,,2019-11-05
Acer,BR247Y,BR247Y_q,,23.8,1920,1080,IPS LCD,10.94,0.24,0.1,250,,2023-07-27
Acer,CB241Y,CB241Y_v,,23.8,1920,1080,TFT LCD,15.28,0.24,0.18,250,,2022-06-13
Acer,CB242Y,CB242Y,,23.8,1920,1080,VA LCD,12.15,0.29,0.26,250,,2023-01-04
Acer,CB242Y,CB242Y,CB24******,23.8,1920,1080,IPS LCD,12.48,0.11,0.08,388.1,,2024-08-15
Acer,CB242Y,CB242Y_q,,23.8,1920,1080,IPS LCD,10.83,0.11,0.08,250,,2026-05-08
Acer,CB242Y,CB242Y_r,B247Y_r|B247Y|V247Y_r|V247Y,23.8,1920,1080,IPS LCD,13.35,0.21,0.16,250,,2019-09-27
Acer,CB242Y,CB242Y_v,CBA242Y_v|CBA242Y,23.8,1080,1920,IPS LCD,14.34,0.2,0.14,250,,2020-01-16
Acer,CB243Y,CB243Y_v,CB243Y***,23.8,1920,1080,TFT LCD,15.57,0.56,0.2,300,,2021-12-31
Acer,CB272,CB272,CB27******,27,1920,1080,IPS LCD,14.41,0.11,0.09,227.6,,2024-08-15
Acer,CB272,CB272_q,,27,1920,1080,IPS LCD,13.35,0.13,0.09,250,,2026-05-14
Acer,CB272,CB272_v,CB272U|CB272U_v|CB272U***|CB272***,27,2560,1440,IPS LCD,18.97,0.3,0.23,350,,2020-08-04
Acer,CB272K,CB272K_k,CB27**********,27,3840,2160,IPS LCD,22.94,0.45,0.21,350,,2026-04-08
Acer,CB272K,CB272K_v,,27,2160,3840,IPS LCD,23.15,0.27,0.21,350,,2023-05-09
Acer,CB272K,CB272K_v,CB272K***,27,3840,2160,TFT LCD,26.59,0.26,0.11,350,,2025-06-16
Acer,CB272U,CB272U_k,CB27**********,27,2560,1440,IPS LCD,17.47,0.31,0.16,300,,2026-04-08
Acer,CB273,CB273_v,CB273***,27,1920,1080,IPS LCD,17.07,0.35,0.29,250,,2025-04-22
Acer,CB273K,CB273K_v,,27,2160,3840,IPS LCD,23.9,0.71,0.18,350,,2023-03-02
